Andhra Pradesh Police,,,
SN,item,count,ref_nos
258,providing basic amenities to 2nd ward mup school near police station in bheemunipatnam,1,T.No.04/17-18/EE-VIII:dt.24.04.17(Item 8)
259,repairs & maintenance to varsha block barrack at police training college vizianagaram of vizianagaram district,1,41/EE/PHC/VSP/2016-17
260,guntur town of guntur district- stn,1,A136/2016-17
261,construction of police station building at nagaram palem,1,A136/2016-17
262,laying of wbm roads to 2nd to 4th cross streets of police colony in division no. 31,1,"NIT No. 634/MCN/DB/GEN/2017-18, Dt.03.11.2017"
263,construction of model police station building at nellore 4th town of spsr nellore district,1,A91/2017-18
264,construction of model police station building at i town chittoor of chittoor dist- stn,1,A222/2016-17
265,construction of community hall at ameed nagar ( kummarathopu near police quartesr ) in ward no. 29,1,"329/TPT/16-17/GEN/To,Dt:-17-10-2016"
266,providing additional amenities to community hall at district police office,1,"Short TN.No.30/2016-17, Dt. 24-06-2016"
267,i- town nellore of nellore district,1,A263/2018-19
268,construction of police station building at chinna bazar,1,A263/2018-19
269,construction of sw drain at town police station road south side in ward no. 27,1,"T.Notice No.6/2017-18, Dy.EE., Dt.29.04.2017-2"
270,beacon light ( poli eye lighting box for police vehicle ),1,92215026
271,blue ) gem description- garud lighting box ( flasher for police vehicles ) with base plate ( with magnet shoes mounting b,1,92215026
272,white,1,92215026
273,three colors ( red,1,92215026
274,renovation of 3. 3kv oh line from potanga police picket to tillaiyya village under urimari ocp.,1,PE(EnM)/Urimari/e Tender/23-24/41
275,ward 13 kacherimedu police quarters road to thamarachira road retarring project no 14 24,1,E1.4845/2010
276,supply of various fresh ration items for grain shop at rtc kimin itb police ( ap ),1,ITBP/RTC KIMIN/Grain Shop/2023-2049 dtd 03-06-2023
277,providing greenery along the stretch of ntpc police station to rto office in ramagundam municipal corporation.,1,191/EE/GF/RMC/2021-4
278,vrious civil work at naupada police station area in ward no. 21 ( b ).,1,TMC/PRO/PWD/NKPS/1000/2020-21
279,renovation of footpath,1,TMC/PRO/PWD/NKPS/1000/2020-21
280,construction of two waiting halls in srikalahasti police station,1,"10(1)/DM/2019-20, Dt.11-09-2019"
281,mpdo office in srikalahasti ( 2nd call ),1,"10(1)/DM/2019-20, Dt.11-09-2019"
282,providing lighting arrangements for army recruitment rally at police parade grounds in ongole municipal corporation,1,"65/2019-20, Dt.28.6.19"
283,mpdo office,1,"8(6)/DM/2019-20, Dt.22-08-2019"
284,construction of three waiting halls at thahsildar office,1,"8(6)/DM/2019-20, Dt.22-08-2019"
285,police station of chandragiri mandal,1,"8(6)/DM/2019-20, Dt.22-08-2019"
286,switchgears etc,1,23/2019-20/IMnEE /MOF/ELE/EMP/1098
287,renovation of coastal security police station at fishing harbour- renewal of electrical wirings,1,23/2019-20/IMnEE /MOF/ELE/EMP/1098
288,construction of retaining wall creek road adjacent to creek opposite police quarters in ward no 22,1,TMC/PRO/PWD-NUPA/2172/2017-18
289,procurement of encase forensic v8 academic license for sardar vallabhbhai patel national police academy,1,26011/44/2017-18/HS-OM
290,reconstruction of gutter,1,TMC/PRO/PWD-KOP/1695/2017-18
291,pathway near kopri police station at raj nagar area is ward no. 20 ( a ).,1,TMC/PRO/PWD-KOP/1695/2017-18
292,construction of   c.c. drain in prabhag no. 01,1,E-Tender Notice No. 10 of 2017-18
293,aziz nagar from police quarter compound wall to nalla,1,E-Tender Notice No. 10 of 2017-18
294,consultancy service for project monitoring,1,23012/86/2014-PC Part III C F No. 3379960
295,quality assurance services for construction of national police academy nepal,1,23012/86/2014-PC Part III C F No. 3379960
296,construction of paywat near police chawl,1,TMC/PRO/PWD/1519/2016-17
297,baban borade to rajvanti nirmal house in ward no 55a,1,TMC/PRO/PWD/1519/2016-17
298,improvement of ambadi padi  karthika padi,1,102/17/AE/LSGD/ADR
299,police station road in ward 05 of adoor municipality,1,102/17/AE/LSGD/ADR
300,installation of full hd led televisions in the mctp mess of s.v.p. national police academy,1,31011/3/2016-2017/HS-W
301,arm for 2016- 17 of existing road at 12th bn itb police matli camp uttrakashi,1,ITBP/12BN /ENGR/MAINT/TENDER/3293 DTD 20-06-16
302,rmo e  m services in police colony narela delhi. sh rmo em services,1,472  of 2015-16/PWD EMD M-352
303,construction of traffic police station at puttur in d. kannada dist under 2010- 11 budgeted scheme,1,PHC/CONTRACTS/MNG/7ND91/2012-13/CALL-2
304,additional accommodation on first floor of police guest house at kurnool of kurnool district,1,T37/2018-19
305,modification,1,T37/2018-19
306,apcrda- construction of temporary police barrack near undavalli caves in amaravati capital city area,1,CRDA-13023(38)/89/2018
307,installation open gym equipments to the police lines park,1,330/SCC/2018-19
308,providing cc platform with tiles,1,330/SCC/2018-19
309,providing a fountain in police commissioner s bungalow in zone- ii area on gvmc limits.,1,"Tender Notice No.27/2018-19/EE(PL&C)/GVMC, Dt:04 -02-2019 (Item-1)"
310,formation of parade ground at district police office building,1,T158/2018-19
311,kamareddy of kamareddy district ( 2nd call ),1,T158/2018-19
312,construction of sw drain at malkapuram police station opp road in ward no 45 ( 14th finance ),1,TNO15/2017-18/SE(W)/EE-IVB/DB/DT.23-5-17(Item no 2)2nd call
313,laying of cc drain,1,38/2017-18/SE(W)/EE-I(Works)/DB/Dt.08-01-2018/Item-09
314,culvert at police station back side at vuda colony in ward no. 5,1,38/2017-18/SE(W)/EE-I(Works)/DB/Dt.08-01-2018/Item-09
315,kadapa ( 3rd call ),1,NIT A126/2017-18
316,construction of 3 nos dog kennels in the premises of district police office,1,NIT A126/2017-18
317,providing of rcc slab culvert,1,110/Mcr/General/2017-18
318,approach at police quarters nea nh- 16 in 9th division.,1,110/Mcr/General/2017-18
319,providing paintings to footpaths,1,Rc.No.E11-143150/2017
320,center divider from police control room to chuttugunta junction in eluru road,1,Rc.No.E11-143150/2017
321,providing basic amenities to m. u. p school near police station bheemunipatnam zone,1,Short T.No.24/2017-18/SE(W)/EE-VIII/DB/Dt.01-03-2018 (Item No.10)
322,repairs of improvement of cc drain from mahila police station to existing culvert in ward no. 49,1,"25-9/General Fund/knl/EE-I/16-17, dt.07-10-2016"
323,restoration,1,"25-9/General Fund/knl/EE-I/16-17, dt.07-10-2016"
324,construction of c. c pavement in police quarters from chainage 0- 200 mts. in division no. 45,1,"229/2016-17, dt.27.5.16"
325,construction of rcc culvert infront of mr palli police station at rc road in ward no. 19,2,"292/TPT/16-17/Gen/TO,Dt:-05-08-2016, 291/TPT/16-17/Gen/TO,Dt:-05-08-2016"
326,construction of model police station building at sarpavaram,1,A170/2017-18
327,kakinada of east godavari district- 2nd call.,1,A170/2017-18
328,construction of box type culvert,1,214/2017-18/14th FC/TO
329,cc drain near police training college in 39th division,1,214/2017-18/14th FC/TO
330,vijayawada of krishna district- 2nd call ( stn ).,1,A185/2018-19
331,construction of model police station building at satyanarayanapuram,1,A185/2018-19
332,construction of toilet block in the premises of police repeater/ wireless station at kailasagiri top ( 3rd call ),1,"1/2019-20/EE-I/VMRDA, Dt:02.07.2019 (3rd call)"
333,280mm dia hdpe pipeline at police quarters road nagarampalem in div. no. 23,1,E.T.NO.16/2018-19 ITEM NO. 07
334,providing 225mm,1,E.T.NO.16/2018-19 ITEM NO. 07
335,providing heavy vehile priventer at reserve police line sough side road in 46th division,1,ROC.NO.2739/2018/E2
336,construction of model police station building at chebrolu of guntur district ( balance work )- 2nd call.,1,A33/2018-19
337,errection of central control room with equipment in i town police station in adoni.,1,72/ADN/Mplty/Genl Funds/2016-17
338,repairs to drain at prakasam road from balaji colony to police quarters road,1,"432/TPT/16-17/ISCA/SE/TO,Dt:-15-10-2016"
339,construction of cc road,1,"432/TPT/16-17/ISCA/SE/TO,Dt:-15-10-2016"
340,vizianagaram,1,"161/2016-17, Dt.25.03.2017 of the SE, PR Circle, Vizianagaram"
341,proposed construction of additional class rooms for police welfare school at ar head quarters,1,"161/2016-17, Dt.25.03.2017 of the SE, PR Circle, Vizianagaram"
342,construction of culvert at chandraiah drain bund beside police colony in ward no. 36 in gudivada municipality,1,354/Gdv/Gen/2017-18
343,construction of cc drain beside ameenpeer kalayana madapam to two police station ( l shape ),1,513/14THFCG/ATO/MCK
344,re- carpeting the b. t road from dykes to police commissioner office junction in ward no. 26,1,Short T.No.12/2016-17/SE(W)/EE-III/DB/Dt.15-07-2016 (Item NO.05)
345,ccl.,1,GMAC/SOC/Tender/23-24/124/857
346,making temporary toilet for sisf personnel at kathautiya police picket under amrapali ocp of a- c area,2,"GMAC/SOC/Tender/23-24/124/857, GMAC/SOC/Tender/23-24/157/1067"
347,accessories at hardwa siding police picket barrack under amrapali ocp,1,GM(AC)/SO(EnM)/e-NIT/23-24/22
348,a- c area,1,GM(AC)/SO(EnM)/e-NIT/23-24/22
349,fresh electrical wiring,1,GM(AC)/SO(EnM)/e-NIT/23-24/22
350,under mps ldp making niwara shed at police school in ward no. 22 naupada kopri ward committee.,1,TMC/PRO/PWD/HQ/1077/2022-23
351,tirupati divisional office tapso,1,SRCC/LT/422/TAPSO/2022-23
352,development new a site ro in chittoor police department land at chittoor,1,SRCC/LT/422/TAPSO/2022-23
353,providing greenery along the stretch of solar plant ( ntpc ) to ntpc police station in ramagundam municipal corporation.,1,191/EE/GF/RMC/2021-3
354,construction,1,TMC/PRO/PWD-1710/2018-19
355,widening of 9 m dp road at police station to lbs road in naupada ward committee,1,TMC/PRO/PWD-1710/2018-19
356,construction of two waiting halls at vadamalapeta police station,1,"8(5)/DM/2019-20, Dt.22-08-2019"
357,mpdo,1,"8(5)/DM/2019-20, Dt.22-08-2019"
358,thahsildar office premises in vadamalapeta mandal,1,"8(5)/DM/2019-20, Dt.22-08-2019"
359,other scientific equipment for regional forensic science labs,1,STC/HYD/GID/2017-18/02
360,ap police,1,STC/HYD/GID/2017-18/02
361,supply of dna equipment for forensic analysis,1,STC/HYD/GID/2017-18/02
362,footpath in front of police line ground at koprigaon area in ward no. 20 ( b ).,1,TMC/PRO/PWD-KOP/1688/2017-18
363,necessary work of gutter,1,TMC/PRO/PWD-KOP/1688/2017-18
364,design,2,"12013/11/2016-2017/TRG(MCTP Ph-IV Programme), 12013/11/2016-2017/TRG(MCTP Ph-III Programme)"
365,developemnt,2,"12013/11/2016-2017/TRG(MCTP Ph-IV Programme), 12013/11/2016-2017/TRG(MCTP Ph-III Programme)"
366,delivery of mid career training programmes of phase- iii for indian police service officers.,1,12013/11/2016-2017/TRG(MCTP Ph-III Programme)
367,delivery of mid career training programmes of phase- iv for indian police service officers.,1,12013/11/2016-2017/TRG(MCTP Ph-IV Programme)
368,rescue colony of kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 17-18/001 dtd 04/04/17
369,police line,5,"SECL/GM/KSM/CIVIL/e-Tender/ 17-18/001 dtd 04/04/17, SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18, SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16, SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19, SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15"
370,renovation of branch drains at nehru nagar,1,SECL/GM/KSM/CIVIL/e-Tender/ 17-18/001 dtd 04/04/17
371,jawahar nagar,5,"SECL/GM/KSM/CIVIL/e-Tender/ 17-18/001 dtd 04/04/17, SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18, SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16, SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19, SECL/GM/KSM/CIVIL/e-Tender/ 15-16/86 dtd 01/04/15"
372,renewal of warranty support for cyberoam 300ing firewall for sardar vallabhbhai patel national police academy,1,26011/13/2016-17/HS-OM
373,hyd.,1,26011/13/2016-17/HS-OM
374,installation of audio visual equipments in the ips mess at s. v. p. national police academy.,1,31011/1/2016-2017/HS-W.
375,malkapur,3,"MCM/PWD/NIT06/2015-16, NIT 591/MC Malkapur, MCM/PWD/NIT3/2017-18"
376,p. n. 2,1,MCM/PWD/NIT06/2015-16
377,construction of paving block road from radhabai dighe house to police station,1,MCM/PWD/NIT06/2015-16
378,construction of police station building at nallapadu of guntur district. sub- work: providing cup board shutters,1,"Short TN No. 50/2016-17, Dt: 29-12-2016"
379,urinals in the premises of dist. police office in waltair main road in ward no 17,1,Short Tender Notice No.74/2018-19/SE-II/EE-II/DB/Dated:18-02-2019(Item No-1)3rd  call
380,construction of toilet blocks,1,Short Tender Notice No.74/2018-19/SE-II/EE-II/DB/Dated:18-02-2019(Item No-1)3rd  call
381,construction of model police station building at tirchanur of tirupati sub work: internal partitions ( 2nd call ),1,T039/2018-19
382,construction of cc disposal drain,1,"NIT No.68/NMC/DB/14th FCG/2017-18, DT:26.04.2017"
383,culverts at main road of police colony in division no. 31 under 14th fcg.,1,"NIT No.68/NMC/DB/14th FCG/2017-18, DT:26.04.2017"
384,rest rooms for women police staff at ungutur ps of vijayawada commissionerate ( 7th call ),1,"Short TN.No. 45/2016-17, Dt. 13-12-2016"
385,external development of old police station building ( padma raja bhavan ) of s. v. s. devasthanam,1,NIT NO.05-6/2016-17
386,providing wbm road,1,141/GDV/Gen/2017-18
387,construction of cc drain to alluminium factory culvert to police colony in ward no: 36,1,141/GDV/Gen/2017-18
388,proddatur municipality- removal of silt in major drain from i- town police station to d no 22/ 14,1,"3/2016-17-E1, dt.23.06.2016"
389,providing rcc culvert at k & m hotel beside ( opposite police quarters road ) in div. no. 23,1,"ET No.77/2017-18, Item No.05"
390,shower bath arrangements at police quarters,2,"E2/2487/2017, E2/3330/2016"
391,sethammavari padalu during dasara festival- 2016,1,E2/3330/2016
392,providing drilling of borewells,1,E2/3330/2016
393,laying of cc drain from yemmiganur junction police control room to thikka swamy dargha in e. w. no.,1,15/ADN/Mplty/Genl Funds/2016-17-2nd call
394,providing cc road & drain behind traffic police station car shed jn. in ward no. 04,1,T No. 07/2017-18/SE(W-1)/EE-I/DB/Dt. 15-05-2017 (Item No. 16)
395,construction of model police station building at kp bus stand ongole of prakasam district- 2nd call.,1,A175/2017-18
396,providing painting to centre divider from police control room to benz circle 1st call general funds,1,Rc.No.EE3-118211/2018
397,providing cc road from existing cc road near police station to ayyappa nagar in 25th ward,1,23/2015-16/E1/SFC1
398,construction of rcc culvert 11/ 156- 1 at near ii town police station in 34th division,1,188/14thFCG/ATO/MCK
399,construction of model police station building at sr puram ( sri ranga raja puram ) of chittoor district.,1,A167/ 2016-17
400,i town police station,1,311/2017-18/General Funds/TO
401,opposite,1,311/2017-18/General Funds/TO
402,anantapuramu,1,311/2017-18/General Funds/TO
403,providing flooring inside jamiya mosque,1,311/2017-18/General Funds/TO
404,old town,1,311/2017-18/General Funds/TO
405,repairs to old building located at sarpavaram police station guest complex kakinada of east godavari district,1,NIT No 8
406,red sand filling at district police training centre at kurnool,1,T034/2017-18
407,providing additional parade ground levelling,1,T034/2017-18
408,yerraguntla nagar panchayat- sfc- providing cc road from ttd kalyana mandapam to police quarters in yerraguntla.,1,33/SFC/2016-17/E1
409,construction of cc drain from khaleelullah mosque to ii town police station at khaleel nagar in 34th division.,1,517/14THFCG/ATO/MCK
410,providing power bore at police quarters in 7th ward of palasa- kasibugga municiplaity under asc- 2017 grants,1,1232/2016/ASC-136
411,providing additional facilities to incomplete building in the premises of reserve police line at mahatma veedhi in 46th division,1,ROC.NO.5335/2018/E5
412,providing cc road from rural police station to sub jail near mro office in ward no. 17,1,1947/2016/2/E1
413,providing internal pipe line around admin building for greenery at district police training centre kurnool,1,T076/2017-18
414,rest rooms for women police staff at governorpet ps of vijayawada commissionerate ( 6th call ),1,"Short TN.No. 21/2016-17, Dt. 27-08-2016"
415,construction of police headquarters at 6th bn.,2,"Short tender Notice No.46/2017-18.Date:11/10/2017, Short Tender Notice No.23/2017-18.Date:06/07/2017"
416,mangalagiri of guntur district. sub work: construction of power room.,1,Short Tender Notice No.23/2017-18.Date:06/07/2017
417,plastering of incomplete building in the premises of reserve police line at mahathma veedi in 46th division,1,ROC.NO.5332/2018/E5
418,providing flooring,1,ROC.NO.5332/2018/E5
419,construction of police station building at palthur of ananthapuramu district sub work:- providing chain link mesh,1,T147/2017-18
420,construction of cc drain & culverts at anand nagar ( police station backside ) in ward no. 04 of zone- i,1,37/2017-18/SE(W)/EE-I(Works)/DB/Dt.04-01-2018/Item-17
421,beautification of rc road from 200  wide bye- pass road to mr palli police station in tirupati,1,"13(1)/DM/2016-17, Dt. 18.08.2016"
422,regular maintenance work s,1,WBPWD/EE/HD/NIT_03/2013_2014
423,treasury building ii_ police line an police hospital iii_ district collerectorate building iv_ district court building v_ in the campus of,1,WBPWD/EE/HD/NIT_03/2013_2014
424,p through_out the year at different non_residential building i_ drs of cmoh,1,WBPWD/EE/HD/NIT_03/2013_2014
425,mangalagiri of guntur district.,1,Short tender Notice No.13/2017-18.Date:19/09/2017
426,mangalagiri of guntur district. sub work: providing earth work exacavation for laying of external ringmain pipes at police head quarters,1,Short tender Notice No.13/2017-18.Date:19/09/2017
427,apsp,9,"A201/2016-17, A205/2016-17, Tender Notice No. 53/2018-19, Short tender Notice No.13/2017-18.Date:19/09/2017, Short Tender Notice No.39/2017-18.Date:26/08/2017, Short tender Notice No.45/2017-18.Date:10/10/2017, Short tender Notice No.44/2017-18.Date:10/10/2017, Short tender Notice No.52/2017-18.Date:11/10/2017, Short tender Notice No.51/2017-18.Date:11/10/2017"
428,providing fire fighting to ap police head quarters at 6th bn,1,Short tender Notice No.13/2017-18.Date:19/09/2017
429,making approach,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
430,police picket.,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
431,ground levelling,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
432,laying of paver block,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
433,rest shelter,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
434,drain at pit office,1,SO(C)/RA/e-tender/37/23-24/242  dt-27.01.2024
435,ccl ( retender ),1,GMAC/SOC/Tender/23-24/157/1067
436,secunderabad divisional office,2,"SRCC/LT/280/TAPSO/2022-23, SRCC/LT/147/TAPSO/2023-24"
437,siddipet,2,"SRCC/LT/280/TAPSO/2022-23, SRCC/LT/147/TAPSO/2023-24"
438,ponnala,1,SRCC/LT/147/TAPSO/2023-24
439,developemnt of new a site ro at district police head office,1,SRCC/LT/147/TAPSO/2023-24
440,tapso,4,"SRCC/LT/280/TAPSO/2022-23, SRCC/LT/272/TAPSO/2022-23, SRCC/LT/24/TAPSO/2017-18, SRCC/LT/147/TAPSO/2023-24"
441,naval police helmet ( white ),1,GEM/2023/B/4114620
442,ceremonial s,1,GEM/2023/B/4114620
443,seat cover for cermonial pilot gypsy ( white turkish cloth ),1,GEM/2023/B/4114620
444,development of new a site ro at mancherial police site garmilla v,1,SRCC/LT/272/TAPSO/2022-23
445,mancherial,1,SRCC/LT/272/TAPSO/2022-23
446,warangal divisional office,1,SRCC/LT/272/TAPSO/2022-23
447,construction of pqc road near pit office to police picket under ashok open cast project,1,GM(C)/Tender/2022-23/555 dt. 19.11.2022
448,piparwar area,1,GM(C)/Tender/2022-23/555 dt. 19.11.2022
449,fixing of lightening arrester at police picket at old parking of ppr patch under ashok open cast project.,1,PO(AK)/PE(EnM)/e-NIT/22-23/128
450,fixing of 800 amp,1,PO/PND/EnM/e-NIT/2022-23/ 21
451,mccb switch for dhamadhamia colony police picket under purnadih ocp,1,PO/PND/EnM/e-NIT/2022-23/ 21
452,ccl,1,GMAC/SOC/eTender/21-22/206/868
453,replacement of gi roof sheet,1,GMAC/SOC/eTender/21-22/206/868
454,aluminium windows at shivpur police picket under amrapali project of a- c area,1,GMAC/SOC/eTender/21-22/206/868
455,dhamdhamia under purnadih ocp,3,"PE(EnM)/Pnd/NIT/2020-21/112, PE(EnM)/Pnd/NIT/2020-21/108, PE(EnM)/Pnd/NIT/2020-21/113"
456,complete repairing of internal electrical wiring of police picket at a- b colony,1,PE(EnM)/Pnd/NIT/2020-21/113
457,repairing of kitchen shed,1,GMMA/SOC/eTender/20-21/186/907
458,flooring,1,GMMA/SOC/eTender/20-21/186/907
459,chabutra at police picket shivpur siding under amrapali ocp of m- a area,1,GMMA/SOC/eTender/20-21/186/907
460,store,1,GMMA/SOC/eTender/20-21/186/907
461,operation & maintenance of bander road central median greenery from police control room to benz circle. ( 3rd call ),1,Rc.PD-III-135951/2019 (Rc.PD-III-135952/2019)
462,providing cc culvert,1,449/2018-19/GDV/Gen
463,drain police colony road to chandraiah bund road in ward no: 36 in gudivada municipality,1,449/2018-19/GDV/Gen
464,khammam of khammam district.,1,15/2018-19 Dt.04.12.2018 of the DPRE PIU Khammam
465,construction of compound wall to krishna prasad memorial high school at police head quarters,1,15/2018-19 Dt.04.12.2018 of the DPRE PIU Khammam
466,procurement of 20 nos hi- end sip phones for sardar vallabhbhai patel national police academy,2,"26011/14/2016-17/HS-OM(i), 26011/14/2016-17/HS-OM"
467,balance work of alimineti madhava reddy auditorium at district police head quarters in nalgonda town ( compound wall),1,"SE(R&B)NLG,NIT.No.22/T1/Alimineti Madhava Reddy Auditorium/2015-16, dated:02/02/2015"
468,chid welfare dept. at mohan pura,1,NIT 591/MC Malkapur
469,construction of anganwadi for women,1,NIT 591/MC Malkapur
470,police chowki no. 01 in p.n. 6,1,NIT 591/MC Malkapur
471,development of way side view s.v.p. national police academy at sivarampally,1,367/UB/epro/GHMC/2013
472,circle-vi,1,367/UB/epro/GHMC/2013
473,south zone,1,367/UB/epro/GHMC/2013
474,ghmc,2,"367/UB/epro/GHMC/2013, GHMC/MKJ/E1/TN/2019-20/47/7"
475,seethammavari padalu during dasara festival 2017,1,E2/2487/2017
476,providing drilling of bore wells,1,E2/2487/2017
477,nandigama of krishna district.,1,Short tender Notice No.46/2017-18.Date:22/09/2017
478,north two sides ) at police station building,1,Short tender Notice No.46/2017-18.Date:22/09/2017
479,construction of compound wall ( on west,1,Short tender Notice No.46/2017-18.Date:22/09/2017
480,construction of central stores godowns at police head quarters permises,1,A352/2018-19
481,mangalagiriof guntur district ( stn ),1,A352/2018-19
482,6th btn.,1,A352/2018-19
483,laying of 250 mm dia a. c pipe line at c. s. s police station in division no. 11,1,"847/2016-17, dt.2.1.17"
484,construction of police headquarters at 6th,11,"Short tender Notice No.47/2017-18.Date:11/10/2017, Short tender Notice No.19/2017-18.Date:20/09/2017, Short tender Notice No.27/2017-18.Date:21/09/2017, Short tender Notice No.28/2017-18.Date:21/09/2017, Short tender Notice No.22/2017-18.Date:21/09/2017, Short tender Notice No.53/2017-18.Date:11/10/2017, Short tender Notice No.25/2017-18.Date:21/09/2017, Short tender Notice No.24/2017-18.Date:21/09/2017, Short tender Notice No.52/2017-18.Date:11/10/2017, Short Tender Notice No.29/2017-18.Date:26/07/2017, Short tender Notice No.51/2017-18.Date:11/10/2017"
485,bn,15,"Short tender Notice No.47/2017-18.Date:11/10/2017, Short tender Notice No.50/2017-18.Date:11/10/2017, Short tender Notice No.19/2017-18.Date:20/09/2017, Short tender Notice No.27/2017-18.Date:21/09/2017, Short tender Notice No.48/2017-18.Date:11/10/2017, Short tender Notice No.28/2017-18.Date:21/09/2017, Short tender Notice No.22/2017-18.Date:21/09/2017, Short tender Notice No.53/2017-18.Date:11/10/2017, Short tender Notice No.25/2017-18.Date:21/09/2017, Short tender Notice No.26/2017-18.Date:21/09/2017, Short tender Notice No.24/2017-18.Date:21/09/2017, Short tender Notice No.49/2017-18.Date:11/10/2017, Short tender Notice No.52/2017-18.Date:11/10/2017, Short Tender Notice No.29/2017-18.Date:26/07/2017, Short tender Notice No.51/2017-18.Date:11/10/2017"
486,mangalagiri of guntur district. subwork:- providing bt road from east to west.,1,Short Tender Notice No.29/2017-18.Date:26/07/2017
487,new circuit from potanga police picket to old potanga quarry under urimari ocp.,1,PE(EnM)/Urimari/e Tender/22-23/89 Dated 20/01/2023
488,erection/ extension/ renovation of both old,1,PE(EnM)/Urimari/e Tender/22-23/89 Dated 20/01/2023
489,widening of the road from power house main gate to police station in ibrahimpatnam,1,"Nit No. 104/TO/2016-17, dt.10.06.2016 and AMnd.No.1, dt.24.06.2016 of the Superintending ENgineer, PR Circle, MTM at VJA, Krishna district"
490,est. rs. 195. 00 lakhs,1,"Nit No. 104/TO/2016-17, dt.10.06.2016 and AMnd.No.1, dt.24.06.2016 of the Superintending ENgineer, PR Circle, MTM at VJA, Krishna district"
491,laying of cc road infront of newly constructed acb office building & police training centre in ward no. 19,1,"42/TPT/17-18/GEN/TO,Dt:-16-06-2017"
492,construction of community hall near district police office at kadapa,1,"NIT No.150/TO/MPLADS/Building Work/2017-18, Dt:29.03.2018 And Amendment-1 Dt:23.04.2018 of the SE, PR, Kadapa (1st Call)"
493,estimate cost rs. 30. 00 lakhs.,1,"NIT No.150/TO/MPLADS/Building Work/2017-18, Dt:29.03.2018 And Amendment-1 Dt:23.04.2018 of the SE, PR, Kadapa (1st Call)"
494,providing equipment,1,T037/2017-18
495,additional accessories including stage for additional parade ground at district police training centre of kurnool,1,T037/2017-18
496,plastering of compound wall of police commissionarate head quarters of ramagundam municipal corporation ( under csr funds 17- 18 ),1,96/EE/RMC/2018-1
497,construction of compound wall around the police station building near kothur of nellore town of spsr nellore district,1,Short Tender No: 77/2017-18/ Dt: 16-02-2018
498,construction of barrack for police personnel in central red sanders depot at timminaidupalem,1,01/2018-19 TO dated 08.11.2018 of DFO CRSD Tirupati
499,karakambadi road,1,01/2018-19 TO dated 08.11.2018 of DFO CRSD Tirupati
500,tirupati during 2018- 19,1,01/2018-19 TO dated 08.11.2018 of DFO CRSD Tirupati
501,construction of model police station building at chebrolu of guntur district- sub work: beautification of garden with lawn,1,Tender Notice No. 50/2018-19
502,plants,1,Tender Notice No. 50/2018-19
503,traffic police station in division no. 32,1,"1272/2018-19, dt.15.2.19"
504,repaires,1,"1272/2018-19, dt.15.2.19"
505,rectification of leaks at gaddalagunta 3 statue,1,"1272/2018-19, dt.15.2.19"
506,sai baba temple,1,"1272/2018-19, dt.15.2.19"
507,siddarampuram village of bk samudramu mandal in ananthapuramu district,1,"40/AEE3/SDS&NRDWP (Plain)2018-19 Dt: 05.07.2018 of the SE, RWS, Ananthapuramu"
508,construction of over head water tank at police housing colony,1,"40/AEE3/SDS&NRDWP (Plain)2018-19 Dt: 05.07.2018 of the SE, RWS, Ananthapuramu"
509,providing cc road from existing cc road to rural police station near mro office in ward no. 17,1,1947/2016/3/E1
510,construction of security outpost ( near swarna bharath trust ) at atkuru village of unguturu mandal of vijayawada police commissionerate.,1,Short Tender Notice No.27/2017-18.Date:20/07/2017
511,rehabilitation of central lighting cables along eluru road from police island to yagarlapalli 2nd rob in tadepalligudem municipality.,1,"E1/101/2017-18, Dated: 14.02.2018"
512,laying of cc road from d. no. 22- 886/ 68 to d. no. 22- 901 at police colony in div no. 5,1,475/2017-18/E1
513,providing pathways for rc road from 200  bypass road up to mr palli police station in tirupati ( 3rd call ),1,"9(6)/DM/2016-17/TUDA, Dt. 12.07.2016"
514,providing vrf ac system to ups room at the new police head quarters building,1,Short tender Notice No.96/2017-18.Date:02/01/2018
515,mangalagiri of guntur district,3,"Short tender Notice No.89/2017-18.Date:27/12/2017, Short tender Notice No.96/2017-18.Date:02/01/2018, Short tender Notice No.88/2017-18.Date:27/12/2017"
516,construction of model police station building at sattenapalli of guntur district- sub work: beautification of garden with lawn,1,Short tender Notice No.63/2017-18.Date:01/11/2017
517,plants.,1,Short tender Notice No.63/2017-18.Date:01/11/2017
518,kitchen shed at amarwadih police picket of magadh ocp under magadh- sanghmitra area,1,GMMS/SOC/tender/22-23/86/670
519,provision of temporary rooms with toilets,1,GMMS/SOC/tender/22-23/86/670
